id,timestamp,feeTier,poolId,token0,token1,tickLower,tickUpper
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xffc4c367f505b71d0f1ed6b7ff69facf1504f906665481560d937d9281b6ecf8","1730415731","3000","0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d","AGIX","WETH","140880","148200"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0xb7075b76833b3e9c4a5ae058ca44fd4619f0a286c9bcfd9a1afece30b6684734","1730415815","10000","0xdd949d1fe117744a38319c7b7dcc045d630bcc8d","WETH","BERRY","-887200","887200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xffc4c367f505b71d0f1ed6b7ff69facf1504f906665481560d937d9281b6ecf8","1730415731","3000","0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d","AGIX","WETH","140880","148200"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0xb7075b76833b3e9c4a5ae058ca44fd4619f0a286c9bcfd9a1afece30b6684734","1730415815","10000","0xdd949d1fe117744a38319c7b7dcc045d630bcc8d","WETH","BERRY","-887200","887200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x7acec08de3bea6fab0ff6bc1f9abc60f7f962abb181ce1cd8f0488955ffcd7c3","1730416031","3000","0xe8c6c9227491c0a8156a0106a0204d881bb7e531","MKR","WETH","-7980","-7680"
"0x04700c0b00f912d35acf8b5d2f5d537cb3bdfe2ef9eda1756869f0d170518b53","1730416103","500","0x4585fe77225b41b697c938b018e2ac67ac5a20c0","WBTC","WETH","262030","263180"
"0x109d5f19f4461b731bec32b23d0aded3f68da418d144c254408b42393ff39dc5","1730416115","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x37464a819a8f665a8ce48c3599ac76a3d140e229c0eaabea564801536cdec623","1730416091","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x4b72d17683bedd16c0af0c093f2201143a1a4c86a363a84d2080a68181b04e8c","1730416103","3000","0xe8c6c9227491c0a8156a0106a0204d881bb7e531","MKR","WETH","-7980","-7680"
"0x4f5974c7725f3f312f8acb007eded69b2d08f60bd45c672ab85d6468d595d375","1730416139","3000","0x99ac8ca7087fa4a2a1fb6357269965a2014abc35","WBTC","USDC","61740","65280"
"0x0927300e889b655269d2194fe82444e486f66d279041e1fb2a6a8cc0775c274b","1730416163","500","0x11b815efb8f581194ae79006d24e0d814b7697f6","WETH","USDT","-197980","-197590"
"0x1e2c5538cba29c4fb8a66c3684bef6728ee3cd0746695465fb7a3dc0710fc820","1730416283","10000","0xe697b7bc261ada9cbd93525f92e1436d75b86468","WEL","WETH","-111000","-97200"
"0x43b3e40c73eeb4a384a211949a6adf9863405e6917f61156ec0c363066ed2e19","1730416283","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-199140","-194760"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x04700c0b00f912d35acf8b5d2f5d537cb3bdfe2ef9eda1756869f0d170518b53","1730416103","500","0x4585fe77225b41b697c938b018e2ac67ac5a20c0","WBTC","WETH","262030","263180"
"0x0927300e889b655269d2194fe82444e486f66d279041e1fb2a6a8cc0775c274b","1730416163","500","0x11b815efb8f581194ae79006d24e0d814b7697f6","WETH","USDT","-197980","-197590"
"0x109d5f19f4461b731bec32b23d0aded3f68da418d144c254408b42393ff39dc5","1730416115","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x37464a819a8f665a8ce48c3599ac76a3d140e229c0eaabea564801536cdec623","1730416091","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x4b72d17683bedd16c0af0c093f2201143a1a4c86a363a84d2080a68181b04e8c","1730416103","3000","0xe8c6c9227491c0a8156a0106a0204d881bb7e531","MKR","WETH","-7980","-7680"
"0x4f5974c7725f3f312f8acb007eded69b2d08f60bd45c672ab85d6468d595d375","1730416139","3000","0x99ac8ca7087fa4a2a1fb6357269965a2014abc35","WBTC","USDC","61740","65280"
"0x04700c0b00f912d35acf8b5d2f5d537cb3bdfe2ef9eda1756869f0d170518b53","1730416103","500","0x4585fe77225b41b697c938b018e2ac67ac5a20c0","WBTC","WETH","262030","263180"
"0x0927300e889b655269d2194fe82444e486f66d279041e1fb2a6a8cc0775c274b","1730416163","500","0x11b815efb8f581194ae79006d24e0d814b7697f6","WETH","USDT","-197980","-197590"
"0x109d5f19f4461b731bec32b23d0aded3f68da418d144c254408b42393ff39dc5","1730416115","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x37464a819a8f665a8ce48c3599ac76a3d140e229c0eaabea564801536cdec623","1730416091","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x12d99bce5ac4c29cfa90492ad6e16dfbef1c03abf9e8e06138f6698ca0f5f68e","1730416547","10000","0x2afeaf811fe57b72cb496e841113b020a5cf0d60","ESS","WETH","-109200","-95600"
"0x1e2c5538cba29c4fb8a66c3684bef6728ee3cd0746695465fb7a3dc0710fc820","1730416283","10000","0xe697b7bc261ada9cbd93525f92e1436d75b86468","WEL","WETH","-111000","-97200"
"0x3718342752ffc4f3a777bb238dbeac02ed635f9d388198b3e2dca37d7a54530b","1730416631","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0xb7075b76833b3e9c4a5ae058ca44fd4619f0a286c9bcfd9a1afece30b6684734","1730415815","10000","0xdd949d1fe117744a38319c7b7dcc045d630bcc8d","WETH","BERRY","-887200","887200"
"0xffc4c367f505b71d0f1ed6b7ff69facf1504f906665481560d937d9281b6ecf8","1730415731","3000","0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d","AGIX","WETH","140880","148200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0xffc4c367f505b71d0f1ed6b7ff69facf1504f906665481560d937d9281b6ecf8","1730415731","3000","0x99a6880748ceb61c3d9b6d4cd49edb59f79f405d","AGIX","WETH","140880","148200"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0xb7075b76833b3e9c4a5ae058ca44fd4619f0a286c9bcfd9a1afece30b6684734","1730415815","10000","0xdd949d1fe117744a38319c7b7dcc045d630bcc8d","WETH","BERRY","-887200","887200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x04700c0b00f912d35acf8b5d2f5d537cb3bdfe2ef9eda1756869f0d170518b53","1730416103","500","0x4585fe77225b41b697c938b018e2ac67ac5a20c0","WBTC","WETH","262030","263180"
"0x0927300e889b655269d2194fe82444e486f66d279041e1fb2a6a8cc0775c274b","1730416163","500","0x11b815efb8f581194ae79006d24e0d814b7697f6","WETH","USDT","-197980","-197590"
"0x109d5f19f4461b731bec32b23d0aded3f68da418d144c254408b42393ff39dc5","1730416115","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x37464a819a8f665a8ce48c3599ac76a3d140e229c0eaabea564801536cdec623","1730416091","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x12d99bce5ac4c29cfa90492ad6e16dfbef1c03abf9e8e06138f6698ca0f5f68e","1730416547","10000","0x2afeaf811fe57b72cb496e841113b020a5cf0d60","ESS","WETH","-109200","-95600"
"0x1e2c5538cba29c4fb8a66c3684bef6728ee3cd0746695465fb7a3dc0710fc820","1730416283","10000","0xe697b7bc261ada9cbd93525f92e1436d75b86468","WEL","WETH","-111000","-97200"
"0x3718342752ffc4f3a777bb238dbeac02ed635f9d388198b3e2dca37d7a54530b","1730416631","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x04700c0b00f912d35acf8b5d2f5d537cb3bdfe2ef9eda1756869f0d170518b53","1730416103","500","0x4585fe77225b41b697c938b018e2ac67ac5a20c0","WBTC","WETH","262030","263180"
"0x0927300e889b655269d2194fe82444e486f66d279041e1fb2a6a8cc0775c274b","1730416163","500","0x11b815efb8f581194ae79006d24e0d814b7697f6","WETH","USDT","-197980","-197590"
"0x109d5f19f4461b731bec32b23d0aded3f68da418d144c254408b42393ff39dc5","1730416115","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x37464a819a8f665a8ce48c3599ac76a3d140e229c0eaabea564801536cdec623","1730416091","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x4b72d17683bedd16c0af0c093f2201143a1a4c86a363a84d2080a68181b04e8c","1730416103","3000","0xe8c6c9227491c0a8156a0106a0204d881bb7e531","MKR","WETH","-7980","-7680"
"0x4f5974c7725f3f312f8acb007eded69b2d08f60bd45c672ab85d6468d595d375","1730416139","3000","0x99ac8ca7087fa4a2a1fb6357269965a2014abc35","WBTC","USDC","61740","65280"
"0x1e2c5538cba29c4fb8a66c3684bef6728ee3cd0746695465fb7a3dc0710fc820","1730416283","10000","0xe697b7bc261ada9cbd93525f92e1436d75b86468","WEL","WETH","-111000","-97200"
"0x43b3e40c73eeb4a384a211949a6adf9863405e6917f61156ec0c363066ed2e19","1730416283","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-199140","-194760"
"0x12d99bce5ac4c29cfa90492ad6e16dfbef1c03abf9e8e06138f6698ca0f5f68e","1730416547","10000","0x2afeaf811fe57b72cb496e841113b020a5cf0d60","ESS","WETH","-109200","-95600"
"0x3718342752ffc4f3a777bb238dbeac02ed635f9d388198b3e2dca37d7a54530b","1730416631","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
"0x419862b4c88d0c4337695c06021c9f054102c5fe6de8369655e10b7d1ed0d2de","1730416679","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
"0x5d69b6fa9a677a5fae9918a0fbde58498f94d7cded9f806b74666baeda3826aa","1730416799","10000","0xf9bc02a0f79ee8b6982a754979c9dbd909ccee10","PORTAL","WETH","-91800","-91600"
"0x1aa3fc280c7de664fc38cdd250bdeae8b2205aca2809e57cd7d5227fe8883daa","1730415839","3000","0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb","PENDLE","WETH","-63540","-63120"
"0x514a8a69dc8a40bec465fdf8e444bb5feb27d3c132eac27a4872bbf3a4a0cbaf","1730415827","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54000","-53940"
"0x5f8fc5e1569b9e7d8746ed9859e7da6ccb01eb96113d7e8cd30bee16dba42b7e","1730415827","10000","0x841820459769cd629b10a36fd12e603938cc2679","WLD","WETH","-72000","-71800"
"0x605b01a2b4a7964f0872a3878fbb1971158cad692b5badbf363bc37e062485c3","1730415803","3000","0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8","LINK","WETH","-54960","-52200"
"0x68e2f14a38310a2be64d1b7a171b25ff76320750c25b2d2789d4e091fbcefe73","1730415863","10000","0x15a1902069499fa225ca9bb3b5fdedf7d331e939","VOLT","LOTUS","-887200","887200"
"0x70851b63a79bb8e6c644a7821adaa5814bbf9eee88095896283ae1f0a33e98f3","1730415659","100","0xe0554a476a092703abdb3ef35c80e0d76d32939f","USDC","WETH","198203","198204"
"0x04700c0b00f912d35acf8b5d2f5d537cb3bdfe2ef9eda1756869f0d170518b53","1730416103","500","0x4585fe77225b41b697c938b018e2ac67ac5a20c0","WBTC","WETH","262030","263180"
"0x0927300e889b655269d2194fe82444e486f66d279041e1fb2a6a8cc0775c274b","1730416163","500","0x11b815efb8f581194ae79006d24e0d814b7697f6","WETH","USDT","-197980","-197590"
"0x109d5f19f4461b731bec32b23d0aded3f68da418d144c254408b42393ff39dc5","1730416115","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x37464a819a8f665a8ce48c3599ac76a3d140e229c0eaabea564801536cdec623","1730416091","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-200460","-193740"
"0x4b72d17683bedd16c0af0c093f2201143a1a4c86a363a84d2080a68181b04e8c","1730416103","3000","0xe8c6c9227491c0a8156a0106a0204d881bb7e531","MKR","WETH","-7980","-7680"
"0x4f5974c7725f3f312f8acb007eded69b2d08f60bd45c672ab85d6468d595d375","1730416139","3000","0x99ac8ca7087fa4a2a1fb6357269965a2014abc35","WBTC","USDC","61740","65280"
"0x1e2c5538cba29c4fb8a66c3684bef6728ee3cd0746695465fb7a3dc0710fc820","1730416283","10000","0xe697b7bc261ada9cbd93525f92e1436d75b86468","WEL","WETH","-111000","-97200"
"0x43b3e40c73eeb4a384a211949a6adf9863405e6917f61156ec0c363066ed2e19","1730416283","3000","0x4e68ccd3e89f51c3074ca5072bbac773960dfa36","WETH","USDT","-199140","-194760"
"0x12d99bce5ac4c29cfa90492ad6e16dfbef1c03abf9e8e06138f6698ca0f5f68e","1730416547","10000","0x2afeaf811fe57b72cb496e841113b020a5cf0d60","ESS","WETH","-109200","-95600"
"0x3718342752ffc4f3a777bb238dbeac02ed635f9d388198b3e2dca37d7a54530b","1730416631","10000","0x72e0de1cc2c952326738dac05bacb9e9c25422e3","TINC","TITANX","-887200","887200"
